,House Title,Location,Date,Link,Price,Bedrooms,Sqft,House Description
11,Novo 2 @ SFU - Avail Aug 15; Viewings start August 8,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-novo-2-sfu-avail-aug-15/6946541983.html,2200,2,1000,"

QR Code Link to This Post


** Please  reply to this ad for more info

•       Bright 2 bedroom + 1 large den, 2 bathrooms 
•	Ideal for families and SFU staff (2 adults or 2 adults + 1 child)
•	5 stainless steel appliances, washer & dryer in the unit
•	Concrete building, large balcony
•	Gym and rec room (pool table, etc.) 
•	1 parking stall
•	1 storage unit
•	Wheel chair accessible
** Not furnished

IMPORTANT - We require a 1/2 month deposit, 12-month lease, credit / employment check.
•	1-year minimum lease.  
•	No pets
•	No smoking, illegal drugs or marijuana consumption in our unit
•	Internet, phone, cable and utilities not included
"
12,BRENTWOOD 2 BEDROOM / 2 BATHROOM- MEMENTO,Brentwood,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-2-bedroom-2-bathroom/6950302156.html,2200,2,806,"

QR Code Link to This Post


Available now.
Please text or email for viewing. 

Amazing Views! Family oriented Living in Memento at Brentwood. 
2 bedroom | 2 bath 806 square feet of living and sizable patio. 
Steps to sky train and new Brentwood Mall. 


Features:
2 bedrooms
2 full baths
Electrical stove, oven, fridge, microwave, dishwasher, front load washer/dryer
Marble countertops
Carpet floors, tiles in kitchen and bathroom 


One underground secure parking / one Storage 

Utilities are extra - hydro, cable, internet & TV not included, move in/out fee not included.


One-year lease required.
No pet, No smoking.
Reference and credit check required.
2 recent pay stubs required.
Half-month security deposit required.
"
13,View of the mountains and Downtown Vancouver/English Bay.,Burnaby 5885 Olive Ave,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-view-of-the-mountains-and/6950301912.html,1550,2,1230,"

QR Code Link to This Post


5885 Olive Avenue, Burnaby, BC V5H 4N8 
    Neighborhood: Metrotown
    Area: Burnaby South

2 bedroom + den condo in the Metrotown area of Burnaby.
Minutes to Patterson Skytrain and Central Park. Supermarkets, coffee shops, restaurants, banks and medical centres are within walking distance.
It has indoor swimming pool, whirlpool, hot tub, sauna and a newly renovated gym.
Parking + storage unit.

We are waiting your questions by E-MAIL!
We are waiting your questions by E-MAIL!
"
14,Available Now  private room  on main level,Burnaby North,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-available-now-private-room-on/6944290599.html,780,,3000,"

QR Code Link to This Post


Available  Now.Furnished Private Bedroom on main floor in a Luxury House 
Two person share one bathroom 
Close to Burnaby Lake Skytrain Station, Bus #134 #144 to Metrotown, Brand-wood Mall and  SFU directly.  

The rent includes utilities and hi-speed Wi-Fi/ Internet.  There are restaurants, golf course,  and sports complex nearby. 

Prefer to student and young working professional  person .This is a no-party environment. 
No smoking, no pets ,no drugs please.
Please introducing yourself briefly for viewing appointment    "
15,Furnished-Two Bedroom/ Two bathroom- Pet Free Building,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-furnished-two-bedroom-two/6950300429.html,2000,2,780,"

QR Code Link to This Post


DON""T MISS OUT on this Prime LOCATION!! Be on the Skytrain, Brentwood Mall, Whole Foods, Save-on-Foods, great restaurants, Starbucks all within a 3 mins walk! Downtown, North Vancouver, Metrotown is 15 mins drive! Super easy Highway 1 access to either North Shore mountains or out to the Fraser Valley! Mountains and city views from this southeast corner unit in Brent Gardens with 2 large decks! Modest updates include newer laminate flooring & updated kitchen with granite counter tops. Spacious floor plan with 2 generous sized bedrooms.  Shared laundry across the hall, over sized locker and convenient underground parking!

Rental Includes: Furnished Suite: Negotiable( either furnished or unfurnished) but not on rental pricing..thanks)

2 bedrooms
2 bathrooms
All new appliances: Stove,dishwasher, micro wave, & fridge
Move in fee paid by landlord
One parking stall
One generous sized locker

Terms:
One year lease
This is a pet free building: there for pets are NOT allowed.
References and credit check required
Utilities extra

Serious inquires only. Must be working professional, quite, clean, and responsible.

Professionally Managed by Ascent Real Estate.

No phone calls please. All listings by appointment only. All appointments must be confirmed 2 hours prior to showings.  Thank you.    "
16,Room for rent $680.00,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/room-for-rent-68000/6943970319.html,680,,,"

QR Code Link to This Post


2 min walk to bus station. Bright, clean and new house. Quiet atmosphere and only for female. No pets and no party.
1 rooms avaliable now. 
$680.00 monthly include utility and Internet.
Looking for female roommates only.
Please contact Styna @  show contact info
"
17,1 Bedroom Bsmt Suite in North Burnaby (close to SFU/BCIT),North Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-1-bedroom-bsmt-suite-in-north/6950299082.html,1350,1,675,"

QR Code Link to This Post


1 Year lease
Spacious bright 1 bedroom suite
Available September 1st
Private entrance
Utilities included
Shared Laundry
Street parking  
Close to bus route on Willingdon and Brentwood skytrain
Easy walk to Burnaby heights, solo district, Brentwood mall and parks
No smoking/drugs and no pets 

Must have references and proof of stable income
Credit check required

For further information please email to introduce yourself and book an appointment to view
"
18,#4-7387 10th Ave **New Reno Bachelor APT in Burnaby available**,burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-th-ave-new-reno/6950298470.html,1100,,420,"

QR Code Link to This Post


7387 10th Ave at Kingsway

Rent: $1100/month (included: Property Tax + Building insurance + Heat + Hot water  )

Size:  420 Sqft

* 420 sqft Bachelor suite
* New Floor, New Ceiling, New Shower, New Windows
* Great location
* Corner of 10th Ave and Kingsway
* Easy access to New Westminster, Coquitlam, Vancouver
* 2 blocks from Langley Farm Market on Kingsway
* Sorry no pets and no smoking
* 1 yr lease required

Available Sep 1, 2019


Text Only
Please TEXT only   show contact info
 for viewings/more information.
"
19,Master Bedroom for Rent (Starting Aug. 15),Brentwood Gate,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-master-bedroom-for-rent/6950292082.html,1600,,931,"

QR Code Link to This Post


Available starting Aug. 15, we're looking for a tenant(s) interested in short term (minimum 3 months) rental tenancy with possible term renewals for our master bedroom in our 2 bedroom condo. The other bedroom is already currently rented by another tenant so the kitchen, dining area, living room, and in-suite laundry will be shared spaces. Each bedroom is private with their own bathroom and walk-in closet. Master bedroom is furnished with a large queen bed, table, office chair, and lamps. The shared kitchen, dining area, and living room are furnished too. Monthly hydro utilities (electricity & water), Shaw 300 internet, and 1 reserved underground parking spot are included in the monthly rent. Tenants also have full access to the condo's amenities (gym, hot tub, & rec/meeting room). Great for a tenant(s) who is looking to just move in quickly as everything is provided!

Our condo is high up on the 16th floor of the Fitzgerald building with breathtaking scenes of panoramic southern, western and northern views of Burnaby, the downtown Vancouver city lights, & snow capped North Shore Mountains! The Brentwood location is stunning too as it's a 20 minute drive to downtown Vancouver, walking distance from the Brentwood Town Centre mall, skytrain, bus stops, grocery stores (Save On Foods & Whole Foods), lots of restaurants/cafes, and there's a park on the building's property.

Please email me if interested or have any questions, thanks!    "
20,1 Bedroom Suite in New House,New Westminster,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-1-bedroom-suite-in-new/6928396232.html,1295,1,,"

QR Code Link to This Post


One Bedroom basement suite in new house. Available August 1 or sooner.

Short Walk to transit, shopping center, schools etc. 

Monthly rent of $1295 plus 1/4 electrical utilities. No Pets and No Smoking. Suitable for 1 person. 

Text me your information at  show contact info
 .    "
21,2 Bedroom Basement Suite,Central Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/2-bedroom-basement-suite/6928651871.html,1400,2,,"

QR Code Link to This Post


- a living room
- complete kitchen (refrigerator, stove, oven)
- 2 bedrooms
- 1 full bathroom 
- washer provided
- private entrance

Excellent location in the Burnaby Central. In a quiet accessible neighborhood, 10 minutes from Joyce Skytrain station.

No smoking, and no pets permitted. We are looking for quiet long-term tenants.

Available August 15th or September 1st. 
$1400 per month, utilities (electricity and water) and cable included.

Upon contact, tell us a little about yourself (and your roommates) and we can arrange for a viewing.    "
22,Single furnished rooms in North Burnaby,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-single-furnished-rooms-in-north/6950274195.html,550,,,"

QR Code Link to This Post


These 3 single rooms are part of a first-floor suite which is located in a quiet North Burnaby neighborhood near SFU.  The rooms are fully furnished with newly renovated hardwood floor in two and carpet in the other.  It includes a shared living room, kitchen, bathroom and dining room.  The location is within 10-15 minutes’ drive of SFU, CC, BCIT, Burnaby North Secondary School, Costco, Lougheed Mall and Brentwood Mall.  There are also multiple public transport options available with 134, 136, 144 bus stops and Lake City Skytrain station all in walking distance.  These are great rooms for students and single renters.  The rooms and shared area are all furnished and includes a washer and dryer.  There is street side parking available.

The rooms are available for rent in September and the prices are $550, $650, $700.  Shaw high speed internet included.  No smoking and no pets.  Please email or text for more information.    "
23,2 bed 2 bath all expenses included and partially furnished,New westminster,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-northeast-2-bed-2-bath/6936506348.html,2550,2,850,"

QR Code Link to This Post


Almost brand new! 850 Square foot open concept 2 bedroom, 2 bathroom condo located in the heart of New Westminster.  This unit is like-new and facing city hall and Queen's park - enjoy the farmer's market across the street every weekend!  Large-covered patio is great for BBQ'ing and entertaining!

Beautiful kitchen with high-end stainless steel applicances and italian marble countertops (including a large island.) This condo feels like a house, bright and spacious, great layout in this corner, end unit on the 2nd floor (feels like a townhouse!) Only 1 neighbour!  

Close to Douglas college, Skytrain, busses, shopping, schools, Starbucks....centrally located and 20 minutes to downtown!  

Open floor plan, fabulous white cabinetry in kitchen with high-end Kohler fixtures, Stainless Steel appliances (including microwave, dishwasher, garburator, wasaher/dryer) Italian porcelain tiling in bathrooms (one ensuite for main bedroom, with walk-in closet with custom built-ins) 

Partially furnished with Queen size bed, kitchen equipment utensils, desk, stools, couches.

Rent includes: strata fees, electricity, heat/hot water, furnishings, Telus fibre optik high speed internet, Telus TV and home phone!    "
24,Beautiful 2 bedroom on top of a High Rise for rent,New Westminster,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-beautiful-2-bedroom-on/6950206460.html,2050,2,665,"

QR Code Link to This Post


Exactly feel like a brand new building Two junior bed one bath in one of the best neighborhoods in downtown New West
5 minute walk to columbia station skytrain
Amenities: indoor gym on 2nd floor
Garden yard with bbq on 4th and 6th floor
Game room on 4th floor
Meeting room on 4th floor
Electric heating 
Indoor washer/dryer
No praking no storage included but parking or bike storage / storage available for extra charge
Kitchen appliances including dishwasher microwave and fridge 
spactacular fraser river view from all the windows and balcony 
Visitor parking available 
2 Modo shared cars available in the parking of the building and one in front of the building.
"
25,UNFURNISHED 1 BED + 1 PARKING + A/C  IN SIMON FRASER UNIVERSITY  (SFU),Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-unfurnished-1-bed-1-parking-c/6945420443.html,2000,1,678,"

QR Code Link to This Post


Address: 9168 Slopes Mews, Burnaby, B.C, V5A0E4

VERITAS - Top floor loft unit with 18 feet ceiling height. Located on a quiet street and merely steps away from transit, grocery stores, dining and banks. Live to enjoy numerous free and discounted access to SFU amenities as UniverCity resident within one of the most soughed communities in Greater Vancouver.

Built: 2016

Size: 678 sqft 

Building Type: Apartment (Loft) 

Strata Manage: Yes

Furnished: No 

Bedrooms: 1

Bathrooms: 1

Den: 0

Balcony: 0

Floor: 5th

Storage Room: N/A

Parking: 1

Utilities included: Water + Hot Water 

Pet: No

Smoking: No

Sublease & Subletting: No

Overview:
- In-suite laundry, front loading washer, and dryer
- Electric baseboard heating
- Hardwood floor
- Carpet 
- A/C

Amenities:
- Gym
- Lounge Room 
- Garden 

Nearby Transit:
- BUS 143,144, 095, N35,145
- Zipcar

Nearby Schools:
- University Highlands Elementary School
- Simon Fraser University 
- Burnaby Mountain Secondary School 
- Mediated Learning Academy 
- Queen of All Saints Elementary School 

Nearby Groceries/Shops/Restaurants:
- Subway
- Starbucks
- Pizza Hut
- Uncle Faith's Pizza
- Tim Hortons 
- Chopped Leaf
- Nesters Market 
- Scotiabank 
- BC Liquor Stores 

Term: 1-year lease

Available: August 15, 2019    "
26,NEW PET FRIENDLY 2 BED + 2 BATH + 1 PARKING IN COQUITLAM (BURQUITLAM),Coquitlam,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/coquitlam-new-pet-friendly-2-bed-2-bath/6945160119.html,2250,2,807,"

QR Code Link to This Post


Address: 691 North Road, Coquitlam, B.C, V3J3X3

The Burquitlam Capital - Completion 2019. The building's second-level podium rooftop terrace offers a shared barbecue space, kids play area and community garden for residents to enjoy.

Size: 807 sq/ft

Building Type: Condominium

Strata Manage: Yes

Furnished: No

Bedrooms: 2

Bathrooms: 2

Den: 0

Balcony: 1

Storage Room: 1

Parking: 1

Utilities included: Water

Pet: Yes

Smoking: No

Sublease & Subletting: No

Overview:
- Secure building with key fob entry
- In-suite laundry, front loading washer, and dryer
- Security system
- Central heating
- Wooden floor
- Walk-in closet
- CRV system

Amenities:
- Rooftop Terrace
- Lounge area
- Meeting area
- Gym
- Car wash bay
- Pet wash bay
- BBQ area

Nearby Transit:
Burquitlam Skytrain Station
BUS 156,157,180, N9

Nearby Schools:
- Lyndhurst Elemntary
- Stoney Creek Community School
- Roy Stubbs Elementary School
- Mountain View Elementary School
- Cameron Elementary
- Banting Middle School
- Banting Middle School
- Miller Park Community School
- Glenayre Elementary
- Coquitlam College
- SFU

Nearby Groceries/Shops/Restaurants:
- Parsian Market & Halal Meats
- Save-On-Foods
- Safeway
- McDonald's
- Lougheed Town Centre

Term: 1 year lease

Available: August 15, 2019

If applicable: The tenant is responsible to pay for Strata move-in or move-out fee.    "
27,Furnished 2 bedroom at ESCALA,Burnaby North,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-furnished-2-bedroom-at-escala/6950240220.html,2800,2,910,"

QR Code Link to This Post


Brand new Luxury 2 bedroom with air conditioning available now for rent.
$2800/ month include brand new furniture, TELUS high-speed internet and all utilities. 
One parking and one storage locker included. 
This building comes with 5 star amenities with indoor pool, steam and sauna room, fitness and yoga studio, social lounge, billiards, catering kitchen and more. 
Move in now! no pets and no smoking allowed. minimum one year lease.
no furniture option for $2700.00 include all utilities.    "
28,1 bedroom 1 bath central surrey available Aug. 15,Surrey,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/surrey-1-bedroom-1-bath-central-surrey/6933471242.html,1400,1,480,"

QR Code Link to This Post


13399 104ave
Conveniently located right accross city hall. 5 minutes walk from skytrain. 7 minutes from surrey sfu and 10 minutes from the mall. 1 bedroom 1 bath just under 500 sq ft with parking space, extra storage, laundry, dishwasher included.
Gym in the building.


Please no smoking/ pets .

Can also have suite fully furnished with tv(including my netflix account),couch, coffee table, bed and wardrobe for $1500 a month

Suite is currently tenanted until august first and unable to show until then unfortunately 

Please text me if youre interested / any questions and ill try to get back to you as soon as possible    "
29,EXCELLENT LOCATION!  $ 700  (SHARE ACCOMODATION),GILLEY AND IMPERIAL,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-excellent-location-700-share/6941738194.html,700,,,"

QR Code Link to This Post


Available September 01
One private bedroom in a 3 bedrooms share accommodation suite, 8 mins to Metrotown. Furnished upon request or unfurnished.
( Everything included, utilities, high speed Internet, cable and laundry room within the suite)
Bus stop only 3 minutes from the house.
Very quiet and respectful roommates, all of them work and study .
If you are interested in viewing the suite please contact me with your name and a short description about yourself and what you do .
Only serious inquires.
Smoking only permitted outside of the suite.
No pets allowed.
References Required.
Damage deposit required of $350    "
30,EXCELLENT LOCATION!  $ 700  (SHARE ACCOMODATION),GILLEY AND IMPERIAL,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-excellent-location-700-share/6943242725.html,700,,,"

QR Code Link to This Post


Available September 01
One private bedroom in a 3 bedrooms share accommodation suite, 8 mins to Metrotown. Furnished upon request or unfurnished.
( Everything included, utilities, high speed Internet, cable and laundry room within the suite)
Bus stop only 3 minutes from the house.
Very quiet and respectful roommates, all of them work and study .
If you are interested in viewing the suite please contact me with your name and a short description about yourself and what you do .
Only serious inquires.
Smoking only permitted outside of the suite.
No pets allowed.
References Required.
Damage deposit required of $350    "
31,Bright spacious 2 bedroom ground floor suite,Coquitlam Westwood PLATEAU,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bright-spacious-2-bedroom/6941918355.html,1850,2,123,"

QR Code Link to This Post


Hello, were now renting out our bright ground floor 2 bedroom suite in our house. 

Private entrance, sunroom 10'x 12',
Open kitchen, full size fridge freezer, stove  oven, dishwasher, lots of cupboards, washer and dryer, lots of windows, bright, clean, new paint. 
INCLUDES THE FOLLOWING!
High speed internet, basic cable, hydro, garbage, recycling. 

See pictures please then reply, ready to rent Aug 15 2019, or Sept 01 2019.
Looking for long term ! 

Bus stop on the corner ! 
Douglass college 10mins, CDI college 10mins, Vancouver career college 15mins.

5mins to Westwood PLATEAU golf club, 
10mins to bus transfer station and sky train.  10 mins to coquitlam center mall, Costco 15 mins. 


NO SMOKING OF ANY KIND!
NO PARTYERS!
Quite family up stairs.    "
